,Datetime,Open,High,Low,Close,Volume
0,1993-01-29,43.96875,43.96875,43.75,43.9375,1003200
1,1993-02-01,43.96875,44.25,43.96875,44.25,480500
2,1993-02-02,44.21875,44.375,44.125,44.34375,201300
3,1993-02-03,44.40625,44.84375,44.375,44.8125,529400
4,1993-02-04,44.96875,45.09375,44.46875,45.0,531500
5,1993-02-05,44.96875,45.0625,44.71875,44.96875,492100
6,1993-02-08,44.96875,45.125,44.90625,44.96875,596100
7,1993-02-09,44.8125,44.8125,44.5625,44.65625,122100
8,1993-02-10,44.65625,44.75,44.53125,44.71875,379600
9,1993-02-11,44.78125,45.125,44.78125,44.9375,19500
10,1993-02-12,44.875,44.875,44.59375,44.59375,42500
11,1993-02-16,44.46875,44.46875,43.40625,43.46875,374800
12,1993-02-17,43.46875,43.53125,43.28125,43.4375,210900
13,1993-02-18,43.9375,43.9375,42.8125,43.40625,378100
14,1993-02-19,43.40625,43.5625,43.34375,43.5625,34900
15,1993-02-22,43.6875,43.78125,43.5625,43.71875,513600
16,1993-02-23,43.84375,43.875,43.46875,43.6875,373700
17,1993-02-24,43.71875,44.25,43.71875,44.25,26300
18,1993-02-25,44.21875,44.375,44.125,44.34375,44500
19,1993-02-26,44.4375,44.4375,44.1875,44.40625,66200
20,1993-03-01,44.5625,44.5625,44.21875,44.28125,66500
21,1993-03-02,44.3125,44.9375,44.25,44.9375,182400
22,1993-03-03,45.0,45.15625,44.9375,45.125,280100
23,1993-03-04,45.1875,45.1875,44.875,44.875,89500
24,1993-03-05,44.9375,45.125,44.71875,44.75,40000
25,1993-03-08,44.84375,45.75,44.84375,45.75,50800
26,1993-03-09,45.65625,45.6875,45.5,45.59375,169300
27,1993-03-10,45.59375,45.6875,45.40625,45.6875,194400
28,1993-03-11,45.71875,45.84375,45.5,45.5625,70900
29,1993-03-12,45.1875,45.21875,44.8125,45.09375,643600
30,1993-03-15,45.0625,45.3125,45.0625,45.3125,310800
31,1993-03-16,45.3125,45.4375,45.3125,45.3125,30800
32,1993-03-17,45.25,45.25,44.96875,45.03125,21800
33,1993-03-18,45.21875,45.5,45.21875,45.3125,59300
34,1993-03-19,45.28125,45.28125,45.03125,45.03125,66900
35,1993-03-22,44.59375,44.875,44.5625,44.78125,183400
36,1993-03-23,44.90625,44.9375,44.8125,44.875,55200
37,1993-03-24,44.8125,45.0625,44.59375,44.875,37200
38,1993-03-25,44.90625,45.25,44.84375,45.15625,110100
39,1993-03-26,45.125,45.15625,44.875,44.90625,101500
40,1993-03-29,44.9375,45.3125,44.9375,45.09375,87100
41,1993-03-30,45.15625,45.21875,45.09375,45.21875,56000
42,1993-03-31,45.34375,45.46875,45.1875,45.1875,111600
43,1993-04-01,45.25,45.25,44.9375,45.03125,129500
44,1993-04-02,44.65625,44.65625,44.09375,44.09375,59400
45,1993-04-05,44.4375,44.4375,44.1875,44.3125,172200
46,1993-04-06,44.40625,44.40625,44.0625,44.1875,129700
47,1993-04-07,44.25,44.34375,44.15625,44.34375,28000
48,1993-04-08,44.53125,44.53125,44.09375,44.28125,180800
49,1993-04-12,44.71875,44.9375,44.65625,44.90625,348500
50,1993-04-13,44.875,45.15625,44.84375,45.0,146100
51,1993-04-14,45.03125,45.0625,44.90625,44.9375,119600
52,1993-04-15,44.90625,45.03125,44.75,44.9375,148600
53,1993-04-16,44.96875,45.03125,44.875,44.9375,47900
54,1993-04-19,44.9375,45.0625,44.71875,44.75,157000
55,1993-04-20,44.6875,44.75,44.25,44.53125,279500
56,1993-04-21,44.625,44.625,44.375,44.5,67900
57,1993-04-22,44.3125,44.6875,43.9375,43.9375,97700
58,1993-04-23,43.84375,43.96875,43.6875,43.75,106000
59,1993-04-26,43.78125,43.9375,43.28125,43.40625,62600
60,1993-04-27,43.34375,43.875,43.34375,43.875,156800
61,1993-04-28,43.8125,43.90625,43.71875,43.78125,85900
62,1993-04-29,43.875,43.96875,43.625,43.96875,85000
63,1993-04-30,44.125,44.28125,44.03125,44.03125,88500
64,1993-05-03,44.09375,44.3125,43.90625,44.3125,80500
65,1993-05-04,44.40625,44.625,44.34375,44.46875,149100
66,1993-05-05,44.46875,44.75,44.46875,44.59375,109000
67,1993-05-06,44.53125,44.5625,44.40625,44.4375,54700
68,1993-05-07,44.46875,44.46875,44.28125,44.34375,68000
69,1993-05-10,44.40625,44.6875,44.40625,44.4375,113900
70,1993-05-11,44.4375,44.625,44.3125,44.625,42600
71,1993-05-12,44.4375,44.59375,44.4375,44.5625,31000
72,1993-05-13,44.375,44.375,44.0,44.03125,129100
73,1993-05-14,44.03125,44.15625,43.96875,44.0,63500
74,1993-05-17,44.125,44.15625,43.9375,44.15625,34000
75,1993-05-18,44.1875,44.21875,43.96875,44.125,105200
76,1993-05-19,44.125,45.03125,43.84375,45.03125,50200
77,1993-05-20,45.03125,45.15625,44.9375,45.15625,98200
78,1993-05-21,45.1875,45.25,44.71875,44.75,221400
79,1993-05-24,44.84375,45.09375,44.84375,44.9375,30500
80,1993-05-25,45.125,45.125,45.03125,45.03125,191800
81,1993-05-26,45.15625,45.625,45.125,45.59375,102400
82,1993-05-27,45.65625,45.65625,45.375,45.4375,53800
83,1993-05-28,45.40625,45.40625,45.0,45.21875,79100
84,1993-06-01,45.375,45.8125,45.3125,45.65625,28300
85,1993-06-02,45.53125,45.75,45.34375,45.59375,20300
86,1993-06-03,45.5,45.5,45.34375,45.4375,21600
87,1993-06-04,45.3125,45.3125,45.09375,45.28125,32000
88,1993-06-07,45.375,45.375,45.125,45.125,121400
89,1993-06-08,45.0,45.0,44.71875,44.71875,104500
90,1993-06-09,44.875,45.0625,44.8125,44.875,43300
91,1993-06-10,44.84375,44.9375,44.75,44.90625,17900
92,1993-06-11,45.0625,45.15625,44.90625,45.09375,647400
93,1993-06-14,45.15625,45.1875,45.03125,45.03125,64200
94,1993-06-15,45.09375,45.125,44.9375,44.9375,142400
95,1993-06-16,44.9375,45.03125,44.8125,45.03125,330900
96,1993-06-17,45.125,45.1875,45.03125,45.1875,37400
97,1993-06-18,44.84375,44.84375,44.5,44.5,58500
98,1993-06-21,44.625,44.625,44.53125,44.59375,29300
99,1993-06-22,44.65625,44.65625,44.5625,44.625,137500
100,1993-06-23,44.625,44.625,44.21875,44.21875,227600
101,1993-06-24,44.34375,44.8125,44.34375,44.8125,243700
102,1993-06-25,44.78125,44.90625,44.75,44.78125,44800
103,1993-06-28,45.0,45.28125,44.9375,45.28125,439900
104,1993-06-29,45.21875,45.21875,45.0,45.0625,207500
105,1993-06-30,45.125,45.21875,45.0,45.0625,437600
106,1993-07-01,45.125,45.125,44.875,44.9375,605700
107,1993-07-02,44.78125,44.8125,44.53125,44.6875,285400
108,1993-07-06,44.625,44.75,44.15625,44.21875,246400
109,1993-07-07,44.1875,44.40625,44.1875,44.34375,343700
110,1993-07-08,44.375,44.9375,44.3125,44.84375,248200
111,1993-07-09,44.84375,44.96875,44.75,44.96875,378200
